# system_size, network_name, epoch, replay_memory, device, learning_rate, target_update, optimizer, discount_factor, total_training_steps, mean_q_list, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, failure_rate, p_error_train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,size_3_NN_11,1,proportional,cpu,0.00025,10,Adam,0.95,5,-0.005,0.01,10,19.0,0.2,0.09999999999999998,40.7,0,0.1
3,size_3_NN_11,2,proportional,cpu,0.00025,10,Adam,0.95,10,0.003,0.01,10,20.0,0.0,0.0,50.0,0,0.1
3,size_3_NN_11,3,proportional,cpu,0.00025,10,Adam,0.95,15,0.017,0.01,10,20.0,0.0,0.19999999999999996,50.0,0,0.1
3,size_3_NN_11,4,proportional,cpu,0.00025,10,Adam,0.95,20,0.121,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.1
3,size_3_NN_11,5,proportional,cpu,0.00025,10,Adam,0.95,25,0.01,0.01,10,20.0,0.0,0.30000000000000004,50.0,0,0.1
3,size_3_NN_11,6,proportional,cpu,0.00025,10,Adam,0.95,30,-0.012,0.01,10,19.0,0.0,0.09999999999999998,50.0,0,0.1
3,size_3_NN_11,7,proportional,cpu,0.00025,10,Adam,0.95,35,0.002,0.01,10,19.0,0.0,0.0,50.0,0,0.1
3,size_3_NN_11,8,proportional,cpu,0.00025,10,Adam,0.95,40,-0.01,0.01,10,19.0,0.1,0.19999999999999996,46.0,0,0.1
3,size_3_NN_11,9,proportional,cpu,0.00025,10,Adam,0.95,45,4.573,0.01,10,18.0,0.0,0.0,50.0,0,0.1
3,size_3_NN_11,10,proportional,cpu,0.00025,10,Adam,0.95,50,15.411,0.01,10,20.0,0.1,0.09999999999999998,45.4,0,0.1
3,size_3_NN_11,11,proportional,cpu,0.00025,10,Adam,0.95,55,13.073,0.01,10,19.0,0.1,0.19999999999999996,45.2,0,0.1
3,size_3_NN_11,12,proportional,cpu,0.00025,10,Adam,0.95,60,89.445,0.01,10,20.0,0.0,0.30000000000000004,50.0,0,0.1
3,size_3_NN_11,13,proportional,cpu,0.00025,10,Adam,0.95,65,57.145,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.1
3,size_3_NN_11,14,proportional,cpu,0.00025,10,Adam,0.95,70,91.331,0.01,10,19.0,0.2,0.30000000000000004,40.5,0,0.1
3,size_3_NN_11,15,proportional,cpu,0.00025,10,Adam,0.95,75,135.054,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.1
3,size_3_NN_11,16,proportional,cpu,0.00025,10,Adam,0.95,80,189.505,0.01,10,20.0,0.0,0.09999999999999998,50.0,0,0.1
3,size_3_NN_11,17,proportional,cpu,0.00025,10,Adam,0.95,85,190.667,0.01,10,20.0,0.0,0.0,50.0,0,0.1
3,size_3_NN_11,18,proportional,cpu,0.00025,10,Adam,0.95,90,259.16,0.01,10,20.0,0.0,0.19999999999999996,50.0,0,0.1
3,size_3_NN_11,19,proportional,cpu,0.00025,10,Adam,0.95,95,207.497,0.01,10,20.0,0.0,0.0,50.0,0,0.1
