# system_size, network_name, epoch, replay_memory, device, learning_rate, target_update, optimizer, discount_factor, total_training_steps, mean_q_list, prediction_list_p_error, number_of_predictions, number_of_failed_syndroms, error_corrected_list, ground_state_list, average_number_of_steps_list, failure_rate, p_error_train
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,size_3_NN_11,1,proportional,cpu,0.00025,10,Adam,0.95,100,1743019697766.4,0.1,10,10.0,0.0,0.19999999999999996,10.0,0,0.1
3,size_3_NN_11,2,proportional,cpu,0.00025,10,Adam,0.95,200,1913158229032.96,0.1,10,10.0,0.0,0.0,10.0,0,0.1
3,size_3_NN_11,3,proportional,cpu,0.00025,10,Adam,0.95,300,1934206334402.561,0.1,10,10.0,0.0,0.19999999999999996,10.0,0,0.1
3,size_3_NN_11,4,proportional,cpu,0.00025,10,Adam,0.95,400,1792233181020.16,0.1,10,10.0,0.0,0.09999999999999998,10.0,0,0.1
3,size_3_NN_11,5,proportional,cpu,0.00025,10,Adam,0.95,500,1921589866004.48,0.1,10,10.0,0.0,0.09999999999999998,10.0,0,0.1
3,size_3_NN_11,6,proportional,cpu,0.00025,10,Adam,0.95,600,1885064632074.24,0.1,10,10.0,0.0,0.0,10.0,0,0.1
3,size_3_NN_11,7,proportional,cpu,0.00025,10,Adam,0.95,700,1880023627202.561,0.1,10,10.0,0.0,0.19999999999999996,10.0,0,0.1
3,size_3_NN_11,8,proportional,cpu,0.00025,10,Adam,0.95,800,1839028614594.559,0.1,10,10.0,0.0,0.30000000000000004,10.0,0,0.1
3,size_3_NN_11,9,proportional,cpu,0.00025,10,Adam,0.95,900,2178466055454.719,0.1,10,10.0,0.0,0.09999999999999998,10.0,0,0.1
